Year;Site;Species;Iteration;PTD;Biweek;Global_radiation;Min_Temperature;Max_temperature;Av_temperature;Relative humidity;Precipitation;Vapor_pressure_deficit
2018;BB;Populus;116;210;15;6478.35;15.2;25.6;21.2;41.15;0;1.72
2018;BB;Populus;131;210;15;6478.35;15.2;25.6;21.2;41.15;0;1.72
2018;BB;Populus;168;210;15;6478.35;15.2;25.6;21.2;41.15;0;1.72
2018;BB;Populus;181;210;15;6478.35;15.2;25.6;21.2;41.15;0;1.72
2018;KS;Betula;96;212;15;9435.81;18.5;24.9;21.5;55.08;0;1.33
2019;PB;Fagus;150;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;59;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;68;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;114;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;174;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;182;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2019;PB;Quercus;193;212;15;6348.28;16.1;21.3;18.4;65.08;0.29;0.80
2018;BB;Populus;99;212;15;9435.81;18.5;24.9;21.5;55.08;0;1.33
2018;PB;Quercus;9;213;15;8287.49;17.2;27.1;21.7;45.58;0;1.70
2018;BB;Populus;156;213;15;8287.49;17.2;27.1;21.7;45.58;0;1.70
2017;PB;Fagus;95;214;15;4196.12;16.1;21.0;17.5;62.69;1.74;0.82
2017;PB;Quercus;87;214;15;4196.12;16.1;21.0;17.5;62.69;1.74;0.82
2018;PB;Quercus;55;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2018;PB;Quercus;93;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2019;PB;Quercus;3;214;15;10189.72;13.5;22.0;18.5;76.46;4.205;0.57
2018;BB;Populus;59;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2018;BB;Populus;66;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2018;BB;Populus;72;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2018;BB;Populus;189;214;15;10028.58;17.6;28.7;23.0;45.46;0;1.91
2017;KS;Fagus;15;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Fagus;156;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Fagus;162;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Quercus;9;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Quercus;70;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Quercus;101;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2017;PB;Quercus;111;215;15;6792.16;16.2;22.1;19.0;60.73;4.785;0.98
2018;PB;Quercus;82;215;15;9799.07;18.3;32.1;24.9;40.27;0;2.45
2018;PB;Quercus;100;215;15;9799.07;18.3;32.1;24.9;40.27;0;2.45
2018;BB;Populus;144;216;15;9562.32;17.0;29.6;23.1;52.04;0;1.70
2018;BB;Populus;195;216;15;9562.32;17.0;29.6;23.1;52.04;0;1.70
2017;KS;Fagus;13;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;KS;Fagus;44;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;KS;Fagus;49;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;KS;Fagus;182;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;KS;Fagus;184;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;PB;Quercus;46;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;PB;Quercus;141;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;PB;Quercus;163;216;15;5317.63;16.4;21.4;18.6;57.27;0;1.01
2017;KS;Fagus;66;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2017;PB;Quercus;1;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2017;PB;Quercus;14;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2017;PB;Quercus;50;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2017;PB;Quercus;57;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2017;PB;Quercus;190;217;16;6524.71;13.4;19.4;16.3;72.35;5.22;0.57
2018;PB;Quercus;17;217;16;10237.70;15.5;26.8;21.2;49.00;0;1.60
2017;PB;Quercus;28;218;16;6705.28;10.9;20.6;16.3;56.12;0;0.97
2017;PB;Quercus;113;218;16;6705.28;10.9;20.6;16.3;56.12;0;0.97
2017;PB;Quercus;148;221;16;8170.59;13.3;20.7;16.8;58.00;0;0.93
2018;BB;Populus;200;227;16;3664.38;17.0;20.8;18.7;72.19;0;0.65
2017;KS;Betula;124;229;16;2220.26;15.3;20.5;17.7;82.73;0.87;0.37
2020;KS;Betula;1;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;5;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;6;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;9;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;12;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;13;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;13;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;17;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;17;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;18;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;19;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;20;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;24;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;26;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;26;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;29;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;32;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;33;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;35;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;36;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;38;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;39;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;40;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;41;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;44;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;44;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;45;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;46;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;BB;Populus;47;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
2020;KS;Betula;47;233;17;12584.38;18.1;30.0;23.5;69.12;0.25;1.11
