Date;Year;Month;nMonth;Doy;Site;Species;Tree_number;Leaf_type;Leaf_number;CCI;Unique_tree_ID;Unique_tree_ID_number
2018-10-03;2018;Okt;10;276;KS;Betula;1;sun;2;14;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;sun;3;11.4;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;sun;4;13.1;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;sun;5;12.5;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;shadow;6;12.3;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;shadow;7;5.4;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;shadow;8;12.7;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;shadow;9;15.5;KSBetula1;1
2018-10-03;2018;Okt;10;276;KS;Betula;1;shadow;10;13.7;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;young;1;19.4;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;young;2;18;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;young;3;14.8;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;young;4;14.3;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;young;5;14.6;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;old;6;16.2;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;old;7;14.4;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;old;8;15.8;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;old;9;14.4;KSBetula1;1
2018-10-17;2018;Nov;10;290;KS;Betula;1;old;10;12.7;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;young;1;11.7;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;young;2;14;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;young;3;11.2;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;young;4;15.2;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;young;5;10.4;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;old;6;11.8;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;old;7;12.5;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;old;8;12.2;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;old;9;11.1;KSBetula1;1
2018-10-31;2018;Nov;10;304;KS;Betula;1;old;10;16.7;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;young;1;1.8;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;young;2;1.1;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;young;3;1.5;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;young;4;1.8;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;young;5;7.4;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;old;6;1.3;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;old;7;1.7;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;old;8;1.2;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;old;9;1.8;KSBetula1;1
2018-11-14;2018;Nov;11;318;KS;Betula;1;old;10;1.5;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;sun;1;16.1;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;sun;2;15.1;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;sun;3;16.9;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;sun;4;14.6;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;sun;5;12.1;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;shadow;6;10.1;KSBetula1;1
2019-07-24;2019;Jul;7;205;KS;Betula;1;shadow;7;13.9;KSBetula1;1
